iter	RMSE
0	8.191691496
1	7.704976942
2	7.2189369
3	6.780228344
4	6.404000877
5	6.073017783
6	5.761761539
7	5.478713426
8	5.243986278
9	5.019026454
10	4.763078199
11	4.590677791
12	4.406719807
13	4.258212959
14	4.066242871
15	3.914039871
16	3.781071391
17	3.671795779
18	3.576652794
19	3.475417629
20	3.40175554
21	3.320793336
22	3.251327496
23	3.201813253
24	3.153210007
25	3.10661117
26	3.028109894
27	2.976251949
28	2.930821748
29	2.903543802
30	2.857632596
31	2.830209012
32	2.776409046
33	2.742948654
34	2.70277309
35	2.667981542
36	2.639375337
37	2.610205433
38	2.581837281
39	2.546027082
40	2.524658545
41	2.503216496
42	2.481943382
43	2.466354315
44	2.433519852
45	2.411005321
46	2.39105489
47	2.372979426
48	2.351458539
49	2.333046145
50	2.316820308
51	2.303735616
52	2.288272533
53	2.272694175
54	2.259954326
55	2.240954288
56	2.224033715
57	2.212330432
58	2.201174121
59	2.189676057
60	2.176881995
61	2.164467922
62	2.15243715
63	2.138255433
64	2.124800863
65	2.105809308
66	2.09609192
67	2.081496156
68	2.071707907
69	2.052329195
70	2.0410479
71	2.02431965
72	2.017013169
73	2.003802088
74	1.991141518
75	1.978953947
76	1.959992328
77	1.946898737
78	1.934680111
79	1.920552932
80	1.907345979
81	1.897425588
82	1.889247158
83	1.879863753
84	1.870538839
85	1.856146463
86	1.845708434
87	1.839467932
88	1.827218756
89	1.820479335
90	1.808160435
91	1.799861625
92	1.783179798
93	1.771307277
94	1.759095716
95	1.745881898
96	1.731920812
97	1.721582766
98	1.714329675
99	1.701807414
100	1.693614608
101	1.681390987
102	1.669790197
103	1.657984818
104	1.644018069
105	1.637964785
106	1.624270678
107	1.612319556
108	1.604584359
109	1.599562434
110	1.590583957
111	1.58363008
112	1.576417627
113	1.570991423
114	1.562724351
115	1.551971913
116	1.542488667
117	1.536802948
118	1.53002429
119	1.525616142
120	1.521931289
121	1.517046562
122	1.509652762
123	1.50465539
124	1.496509322
125	1.490581013
126	1.480683039
127	1.472571766
128	1.463599794
129	1.454186168
130	1.450582701
131	1.440715831
132	1.435863163
133	1.430923548
134	1.421784935
135	1.415929442
136	1.411854456
137	1.406423076
138	1.399893312
139	1.393864876
140	1.386868455
141	1.378862741
142	1.375044485
143	1.368351191
144	1.36423606
145	1.358617053
146	1.354005029
147	1.349399895
148	1.341719955
149	1.3364705
150	1.332060703
151	1.32561371
152	1.317827896
153	1.311398183
154	1.30419626
155	1.299051891
156	1.294836538
157	1.289513361
158	1.286490551
159	1.282085603
160	1.277369617
161	1.27309352
162	1.267366204
163	1.260198176
164	1.257150301
165	1.251230212
166	1.246513965
167	1.242188878
168	1.239947685
169	1.234359307
170	1.229370807
171	1.222802587
172	1.216777363
173	1.212060437
174	1.205023378
175	1.197568729
176	1.195424989
177	1.190911565
178	1.18543465
179	1.180075327
180	1.176067746
181	1.172503058
182	1.168020735
183	1.16554941
184	1.160104137
185	1.156139899
186	1.149129487
187	1.144222623
188	1.138638052
189	1.134666115
190	1.129222238
191	1.124049931
192	1.120767881
193	1.117416712
194	1.114059931
195	1.110571374
196	1.106764447
197	1.101150667
198	1.094323453
199	1.091435496
200	1.087315305
201	1.082924124
202	1.079472908
203	1.075157201
204	1.070781755
205	1.066847446
206	1.062574902
207	1.059273933
208	1.054780431
209	1.05091197
210	1.04644948
211	1.042313109
212	1.04017199
213	1.036760454
214	1.034055094
215	1.03071144
216	1.02796836
217	1.0221913
218	1.019370456
219	1.016870559
220	1.013089939
221	1.00904428
222	1.006686706
223	1.004593968
224	1.001702172
225	1.000134616
226	0.9953880259
227	0.9939358436
228	0.9919678795
229	0.9863367978
230	0.9843478415
231	0.9795997443
232	0.9776689864
233	0.9751124312
234	0.9716208325
235	0.9696471282
236	0.9675558839
237	0.9659879424
238	0.9620023999
239	0.9587711801
240	0.955664518
241	0.9531084333
242	0.9502223305
243	0.9479278378
244	0.946077574
245	0.9436603595
246	0.9387977311
247	0.9357763899
248	0.9345446494
249	0.9317820857
250	0.9262066572
251	0.9210885838
252	0.918588112
253	0.9166939984
254	0.9141645685
255	0.9119793708
256	0.9103372433
257	0.9084904939
258	0.9054869446
259	0.901129022
260	0.8981534092
261	0.8951805407
262	0.8930818412
263	0.8876884913
264	0.8845591943
265	0.8818585807
266	0.8794022105
267	0.877208777
268	0.8759590736
269	0.8737628183
270	0.8702279339
271	0.8682263816
272	0.8667947618
273	0.8648145494
274	0.8621292353
275	0.8608702895
276	0.858517253
277	0.8563312606
278	0.8555618565
279	0.8537551825
280	0.8515207825
281	0.8482332395
282	0.8454716337
283	0.8441604597
284	0.841226864
285	0.8359041224
286	0.8337666624
287	0.8296807256
288	0.8288622845
289	0.8274730114
290	0.8243686596
291	0.8206981698
292	0.8194149281
293	0.817571927
294	0.8133861321
295	0.8109734282
296	0.8068984532
297	0.8040526172
298	0.8016300256
299	0.7998577885
